,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,16886,Campus International High School,2021,1,B,District,22,342
1,53520,St Charles Preparatory ,2021,1,B,District,15,519
2,21030,Linden-McKinley STEM Academy,2021,1,B,District,21,534
3,53140,Lasalle ,2021,1,B,District,8,543
4,54015,St Johns Jesuit ,2021,1,B,District,6,570
5,54015,St Johns Jesuit ,2021,1,B,Regional,-1,570
6,53595,St Francis De Sales School ,2021,1,B,District,1,601
7,53595,St Francis De Sales School ,2021,1,B,Regional,2,601
8,53595,St Francis De Sales School ,2021,1,B,State,19,601
9,23838,McKinley High School,2021,1,B,District,19,645
10,13219,Geneva High School,2021,1,B,District,12,664
11,22798,Marietta High School,2021,1,B,District,9,680
12,32276,Rogers High School,2021,1,B,District,11,682
13,2220,Bellefontaine High School,2021,1,B,District,12,683
14,41558,Wilmington High School,2021,1,B,District,21,696
15,1149,Athens High School,2021,1,B,District,17,698
16,26906,New Philadelphia High School,2021,1,B,District,11,725
17,24414,Miami Trace High School,2021,1,B,District,11,732
18,5207,Celina High School,2021,1,B,District,9,735
19,28068,Norwalk High School,2021,1,B,District,7,736
20,28068,Norwalk High School,2021,1,B,Regional,-1,736
21,14944,Hamilton Township High School,2021,1,B,District,17,742
22,52951,Elder ,2021,1,B,District,3,752
23,52951,Elder ,2021,1,B,Regional,15,752
24,37291,Tippecanoe High School,2021,1,B,District,8,752
25,37291,Tippecanoe High School,2021,1,B,Regional,11,752
26,27995,Norton High School,2021,1,B,District,23,758
27,25866,Western Brown High School,2021,1,B,District,9,760
28,25866,Western Brown High School,2021,1,B,Regional,-1,760
29,12310,Franklin High School,2021,1,B,District,17,761
30,36988,Tecumseh High School,2021,1,B,District,16,763
31,41020,Whitehall Yearling High School,2021,1,B,District,15,768
32,4796,Canfield High School,2021,1,B,District,7,773
33,4796,Canfield High School,2021,1,B,Regional,14,773
34,24596,Midview High School,2021,1,B,District,19,774
35,17004,Howland High School,2021,1,B,District,14,781
36,14258,Granville High School,2021,1,B,District,4,792
37,14258,Granville High School,2021,1,B,Regional,16,792
38,8722,Dover High School,2021,1,B,District,16,798
39,3285,Bowling Green High School,2021,1,B,District,4,805
40,3285,Bowling Green High School,2021,1,B,Regional,-1,805
41,52639,Archbishop Hoban ,2021,1,B,District,17,809
42,139311,Monroe High School,2021,1,B,District,12,809
43,1123,Lakeside High School,2021,1,B,District,20,812
44,21576,Louisville High School,2021,1,B,District,1,817
45,21576,Louisville High School,2021,1,B,Regional,1,817
46,21576,Louisville High School,2021,1,B,State,4,817
47,14621,Greenville Senior High School,2021,1,B,District,18,818
48,18770,Kenston High School,2021,1,B,District,5,821
49,39164,Wapakoneta High School,2021,1,B,District,8,826
50,39164,Wapakoneta High School,2021,1,B,Regional,-1,826
51,13920,Goshen High School,2021,1,B,District,10,832
52,4416,Butler High School,2021,1,B,District,19,841
53,2154,Bellbrook High School,2021,1,B,District,14,847
54,24661,Mifflin High School,2021,1,B,District,18,851
55,6296,Chillicothe High School,2021,1,B,District,16,856
56,64683,Northwest High School,2021,1,B,District,12,857
57,53306,Moeller ,2021,1,B,District,8,869
58,32243,Rocky River High School,2021,1,B,District,6,872
59,32243,Rocky River High School,2021,1,B,Regional,12,872
60,31393,Revere High School,2021,1,B,District,8,877
61,31393,Revere High School,2021,1,B,Regional,21,877
62,32755,Ross High School,2021,1,B,District,15,881
63,1081,Ashland High School,2021,1,B,District,3,886
64,1081,Ashland High School,2021,1,B,Regional,7,886
65,30098,Piqua High School,2021,1,B,District,11,888
66,53546,St Edward ,2021,1,B,District,1,895
67,53546,St Edward ,2021,1,B,Regional,2,895
68,53546,St Edward ,2021,1,B,State,8,895
69,7054,Columbian High School,2021,1,B,District,4,900
70,7054,Columbian High School,2021,1,B,Regional,5,900
71,22178,Madison High School,2021,1,B,District,10,903
72,36863,Talawanda High School,2021,1,B,District,6,908
73,36863,Talawanda High School,2021,1,B,Regional,9,908
74,42218,Wooster High School,2021,1,B,District,11,909
75,22111,Madison High School,2021,1,B,District,15,912
76,7310,Copley High School,2021,1,B,District,18,917
77,38588,West Carrollton High School,2021,1,B,District,23,918
78,463,Alliance High School,2021,1,B,District,20,937
79,34561,Sidney High School,2021,1,B,District,20,947
80,5876,Chardon High School,2021,1,B,District,4,949
81,5876,Chardon High School,2021,1,B,Regional,16,949
82,21246,Logan High School,2021,1,B,District,12,958
83,1297,Aurora High School,2021,1,B,District,6,966
84,1297,Aurora High School,2021,1,B,Regional,9,966
85,42408,Xenia High School,2021,1,B,District,25,981
86,23119,Marysville High School,2021,1,B,District,6,982
87,8298,Lima Senior High School,2021,1,B,District,12,985
88,25932,Mount Vernon High School,2021,1,B,District,10,994
89,35477,Springfield High School,2021,1,B,District,5,1003
90,35477,Springfield High School,2021,1,B,Regional,-1,1003
91,40964,Whetstone High School,2021,1,B,District,10,1004
92,16154,Highland High School,2021,1,B,District,4,1006
93,16154,Highland High School,2021,1,B,Regional,18,1006
94,62489,Walsh Jesuit ,2021,1,B,District,14,1012
95,12500,Fremont Ross High School,2021,1,B,District,6,1021
96,12500,Fremont Ross High School,2021,1,B,Regional,-1,1021
97,15214,Harding High School,2021,1,B,District,13,1031
98,42796,Fairborn High School,2021,1,B,District,22,1051
99,22871,Marion L Steele High School,2021,1,B,District,10,1066
100,68502,Turpin High School,2021,1,B,District,4,1080
101,68502,Turpin High School,2021,1,B,Regional,12,1080
102,68551,Sylvania Southview High School,2021,1,B,District,7,1082
103,35089,South High School,2021,1,B,District,18,1083
104,3996,Brush High School,2021,1,B,District,21,1086
105,40758,Westlake High School,2021,1,B,District,7,1089
106,27367,Normandy High School,2021,1,B,District,20,1095
107,37481,Edgewood High School,2021,1,B,District,11,1107
108,37598,Troy High School,2021,1,B,District,4,1130
109,37598,Troy High School,2021,1,B,Regional,7,1130
110,61812,Lake Middle / High School,2021,1,B,District,15,1136
111,6494,Clay High School,2021,1,B,District,8,1137
112,2709,Big Walnut High School,2021,1,B,District,10,1143
113,38109,Valley Forge High School,2021,1,B,District,24,1143
114,28605,Olmsted Falls High School,2021,1,B,District,23,1153
115,39602,Washington High School,2021,1,B,District,19,1158
116,41368,William Henry Harrison High School,2021,1,B,District,13,1158
117,4770,Canal Winchester High School,2021,1,B,District,11,1182
118,15222,Warren G Harding High School,2021,1,B,District,17,1184
119,3467,Brecksville-Broadview Heights High School,2021,1,B,District,11,1203
120,36962,Teays Valley High School,2021,1,B,District,12,1206
121,687,Anderson High School,2021,1,B,District,7,1208
122,26302,North Olmsted High School,2021,1,B,District,21,1208
123,1388,Avon Lake High School,2021,1,B,District,9,1213
124,27334,Nordonia High School,2021,1,B,District,6,1215
125,27334,Nordonia High School,2021,1,B,Regional,20,1215
126,27573,North High School,2021,1,B,District,16,1215
127,3061,Boardman High School,2021,1,B,District,9,1216
128,11791,Fitch High School,2021,1,B,District,13,1223
129,14365,Green High School,2021,1,B,District,8,1234
130,14365,Green High School,2021,1,B,Regional,17,1234
131,11692,Firestone High School,2021,1,B,District,16,1236
132,26336,North Ridgeville High School,2021,1,B,District,17,1241
133,32508,Theodore Roosevelt High School,2021,1,B,District,22,1244
134,1545,Barberton High School,2021,1,B,District,24,1254
135,7930,Cuyahoga Falls High School,2021,1,B,District,14,1254
136,810,Anthony Wayne High School,2021,1,B,District,2,1268
137,810,Anthony Wayne High School,2021,1,B,Regional,1,1268
138,810,Anthony Wayne High School,2021,1,B,State,20,1268
139,136101,Twinsburg High School,2021,1,B,District,10,1291
140,39842,Watkins Memorial High School,2021,1,B,District,12,1320
141,20461,Licking Heights High School,2021,1,B,District,13,1325
142,21600,Loveland High School,2021,1,B,District,2,1326
143,21600,Loveland High School,2021,1,B,Regional,4,1326
144,21600,Loveland High School,2021,1,B,State,12,1326
145,120485,Dublin Scioto High School,2021,1,B,District,5,1340
146,120485,Dublin Scioto High School,2021,1,B,Regional,10,1340
