,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,52860,Central Christian ,2019,3,G,District,9,95
1,134619,Emmanuel Christian Academy ,2019,3,G,District,20,104
2,13870,Fayette Jr/Sr High School,2019,3,G,District,12,109
3,15172,Hardin Northern High School,2019,3,G,District,6,112
4,53785,St Peter High School and Junior High School ,2019,3,G,District,8,115
5,3376,Bradford High School,2019,3,G,District,12,116
6,33050,Russia High School,2019,3,G,District,4,117
7,33050,Russia High School,2019,3,G,Regional,7,117
8,89722,Madison Christian School ,2019,3,G,District,13,123
9,52779,Calvert Catholic Schools ,2019,3,G,District,6,125
10,40097,Waynesfield-Goshen Local High School,2019,3,G,District,5,126
11,16568,Holgate High School,2019,3,G,District,9,128
12,16436,Hilltop High School,2019,3,G,District,14,131
13,53751,Sandusky Central Catholic School ,2019,3,G,District,4,132
14,31666,Ridgedale Jr/Sr High School,2019,3,G,District,14,136
15,52670,Wm V Fisher Catholic ,2019,3,G,District,7,138
16,26955,New Riegel High School,2019,3,G,District,12,139
17,14373,Green High School,2019,3,G,District,17,140
18,29793,Pettisville High School,2019,3,G,District,3,141
19,29793,Pettisville High School,2019,3,G,Regional,21,141
20,26070,North Baltimore High School,2019,3,G,District,11,147
21,36244,Strasburg-Franklin High School,2019,3,G,District,7,148
22,12377,Franklin Monroe High School,2019,3,G,District,10,153
23,134510,Fairfield Christian Academy ,2019,3,G,District,9,157
24,27169,Newton High School,2019,3,G,District,18,158
25,25361,Monroeville High School,2019,3,G,District,8,162
26,5173,Cedarville High School,2019,3,G,District,5,165
27,5173,Cedarville High School,2019,3,G,Regional,9,165
28,53827,St Thomas Aquinas ,2019,3,G,District,7,168
29,30429,Plymouth High School,2019,3,G,District,9,171
30,844,Antwerp Local High School,2019,3,G,District,7,174
31,4085,Buckeye Central High School,2019,3,G,District,7,174
32,53645,St John Elementary and High School ,2019,3,G,District,2,174
33,53645,St John Elementary and High School ,2019,3,G,Regional,7,174
34,53645,St John Elementary and High School ,2019,3,G,State,19,174
35,81851,Toledo Christian ,2019,3,G,District,14,175
36,9589,Eastern High School,2019,3,G,District,12,176
37,9894,Edgerton High School,2019,3,G,District,4,179
38,9894,Edgerton High School,2019,3,G,Regional,14,179
39,31856,River High School,2019,3,G,District,11,179
40,52613,Andrews Osborne Academy ,2019,3,G,District,5,181
41,3228,Botkins High School,2019,3,G,District,9,183
42,22368,Malvern High School,2019,3,G,District,5,183
43,22368,Malvern High School,2019,3,G,Regional,15,183
44,15156,Houston High School,2019,3,G,District,16,192
45,34090,Shadyside High School,2019,3,G,District,8,194
46,778,Ansonia High School,2019,3,G,District,15,195
47,1446,Badger High School,2019,3,G,District,5,195
48,1446,Badger High School,2019,3,G,Regional,9,195
49,12641,Fort Loramie Junior-Senior High School,2019,3,G,District,2,197
50,12641,Fort Loramie Junior-Senior High School,2019,3,G,Regional,2,197
51,12641,Fort Loramie Junior-Senior High School,2019,3,G,State,3,197
52,22681,Maplewood High School,2019,3,G,District,1,197
53,22681,Maplewood High School,2019,3,G,Regional,1,197
54,22681,Maplewood High School,2019,3,G,State,10,197
55,7534,Covington High School,2019,3,G,District,17,199
56,1420,Ayersville High School,2019,3,G,District,8,204
57,9571,Eastern High School,2019,3,G,District,1,207
58,9571,Eastern High School,2019,3,G,Regional,9,207
59,53769,Norwalk Catholic School ,2019,3,G,District,4,207
60,4556,Caldwell High School,2019,3,G,District,1,208
61,4556,Caldwell High School,2019,3,G,Regional,5,208
62,4556,Caldwell High School,2019,3,G,State,20,208
63,11502,Felicity-Franklin Local  High School,2019,3,G,District,8,209
64,53355,Newark Catholic ,2019,3,G,District,8,209
65,2873,South Webster Jr/Sr High School,2019,3,G,District,7,209
66,25148,Mogadore High School,2019,3,G,District,4,212
67,25148,Mogadore High School,2019,3,G,Regional,8,212
68,25437,Montpelier High School,2019,3,G,District,10,213
69,26823,New London High School,2019,3,G,District,1,217
70,26823,New London High School,2019,3,G,Regional,6,217
71,26823,New London High School,2019,3,G,State,14,217
72,29025,Paint Valley High School,2019,3,G,District,13,219
73,28506,Old Fort High School,2019,3,G,District,7,222
74,23515,McDonald High School,2019,3,G,District,2,224
75,23515,McDonald High School,2019,3,G,Regional,3,224
76,23515,McDonald High School,2019,3,G,State,7,224
77,27060,Newcomerstown High School,2019,3,G,District,9,224
78,8433,Patrick Henry High School,2019,3,G,District,9,224
79,7666,Crestview High School,2019,3,G,District,2,226
80,7666,Crestview High School,2019,3,G,Regional,9,226
81,20149,Leipsic High School,2019,3,G,District,11,227
82,52837,Catholic Central ,2019,3,G,District,12,233
83,37697,Tri-County North High School,2019,3,G,District,19,233
84,21519,Loudonville High School,2019,3,G,District,4,238
85,21519,Loudonville High School,2019,3,G,Regional,13,238
86,112227,Grove City Christian ,2019,3,G,District,15,240
87,25155,Mohawk High School,2019,3,G,District,5,243
88,26641,New Bremen High School,2019,3,G,District,4,244
89,2501,Berne Union High School,2019,3,G,District,11,245
90,20990,Lincolnview Jr/Sr High School,2019,3,G,District,5,245
91,20990,Lincolnview Jr/Sr High School,2019,3,G,Regional,19,245
92,2337,Belpre High School,2019,3,G,District,10,247
93,34314,Shenandoah High School,2019,3,G,District,13,251
94,42044,Woodmore High School,2019,3,G,District,2,251
95,42044,Woodmore High School,2019,3,G,Regional,5,251
96,42044,Woodmore High School,2019,3,G,State,12,251
97,42416,Yellow Springs/McKinney High School,2019,3,G,District,8,251
98,22640,Mapleton High School,2019,3,G,District,7,252
99,6965,Col Crawford High School,2019,3,G,District,3,253
100,6965,Col Crawford High School,2019,3,G,Regional,22,253
101,11478,Federal Hocking High School,2019,3,G,District,11,253
102,25114,Minster Jr/Sr High School,2019,3,G,District,1,257
103,25114,Minster Jr/Sr High School,2019,3,G,Regional,1,257
104,25114,Minster Jr/Sr High School,2019,3,G,State,1,257
105,66555,Dayton Christian School ,2019,3,G,District,6,260
106,16816,Hopewell-Loudon Local High School,2019,3,G,District,4,261
107,16816,Hopewell-Loudon Local High School,2019,3,G,Regional,13,261
108,35204,Southeastern High School,2019,3,G,District,16,261
109,8961,East Canton High School,2019,3,G,District,2,262
110,8961,East Canton High School,2019,3,G,Regional,5,262
111,1198,Seneca East High School,2019,3,G,District,5,263
112,8003,Dalton High School,2019,3,G,District,3,264
113,8003,Dalton High School,2019,3,G,Regional,12,264
114,11056,Fairfield Local High School,2019,3,G,District,2,264
115,11056,Fairfield Local High School,2019,3,G,Regional,13,264
116,52894,Cincinnati Country Day ,2019,3,G,District,5,265
117,11288,Fairview High School,2019,3,G,District,6,265
118,7823,Crooksville High School,2019,3,G,District,15,266
119,13433,Gibsonburg High School,2019,3,G,District,7,267
120,7104,Columbus Grove High School,2019,3,G,District,1,269
121,7104,Columbus Grove High School,2019,3,G,Regional,3,269
122,7104,Columbus Grove High School,2019,3,G,State,11,269
123,29280,Parkway High School,2019,3,G,District,5,269
124,42341,Western Reserve High School,2019,3,G,District,3,269
125,42341,Western Reserve High School,2019,3,G,Regional,20,269
126,22863,Marion Local High School,2019,3,G,District,4,270
127,35345,Spencerville High School,2019,3,G,District,6,271
128,26468,National Trail High School,2019,3,G,District,11,273
129,25023,Mineral Ridge High School,2019,3,G,District,4,274
130,25023,Mineral Ridge High School,2019,3,G,Regional,11,274
131,27722,Northmor High School,2019,3,G,District,4,274
132,27722,Northmor High School,2019,3,G,Regional,4,274
133,27722,Northmor High School,2019,3,G,State,15,274
134,9134,East Palestine High School,2019,3,G,District,9,276
135,19745,Lakota High School,2019,3,G,District,6,277
136,12849,Garaway High School,2019,3,G,District,2,280
137,12849,Garaway High School,2019,3,G,Regional,8,280
138,42564,Buckeye Trail High School,2019,3,G,District,4,282
139,42564,Buckeye Trail High School,2019,3,G,Regional,11,282
140,25783,Mt Gilead High School,2019,3,G,District,1,282
141,25783,Mt Gilead High School,2019,3,G,Regional,1,282
142,25783,Mt Gilead High School,2019,3,G,State,5,282
143,2782,Black River High School,2019,3,G,District,10,283
144,4853,Cardinal High School,2019,3,G,District,12,283
145,35659,St Henry High School,2019,3,G,District,2,285
146,35659,St Henry High School,2019,3,G,Regional,8,285
147,13326,Georgetown Jr/Sr High School,2019,3,G,District,7,286
148,17160,Huntington High School,2019,3,G,District,5,286
149,17160,Huntington High School,2019,3,G,Regional,14,286
150,22764,Margaretta High School,2019,3,G,District,2,289
151,22764,Margaretta High School,2019,3,G,Regional,18,289
152,52845,Central Catholic ,2019,3,G,District,1,290
153,52845,Central Catholic ,2019,3,G,Regional,7,290
154,919,Arcanum High School,2019,3,G,District,7,291
155,919,Arcanum High School,2019,3,G,Regional,8,291
156,29991,Piketon Jr/Sr High School,2019,3,G,District,14,292
157,7674,Crestview High School,2019,3,G,District,1,296
158,7674,Crestview High School,2019,3,G,Regional,15,296
159,12674,Fort Recovery High School,2019,3,G,District,3,299
160,12674,Fort Recovery High School,2019,3,G,Regional,17,299
161,42366,Wynford High School,2019,3,G,District,2,300
162,42366,Wynford High School,2019,3,G,Regional,12,300
163,4861,Cardington-Lincoln High School,2019,3,G,District,12,301
164,5298,Centerburg High School,2019,3,G,District,2,303
165,5298,Centerburg High School,2019,3,G,Regional,2,303
166,5298,Centerburg High School,2019,3,G,State,6,303
167,4887,Carey High School,2019,3,G,District,3,306
168,4887,Carey High School,2019,3,G,Regional,16,306
169,8219,Dawson-Bryant High School,2019,3,G,District,4,309
170,37275,Tinora High School,2019,3,G,District,13,309
171,752,Anna High School,2019,3,G,District,6,311
172,752,Anna High School,2019,3,G,Regional,6,311
173,20008,LaBrae High School,2019,3,G,District,11,311
174,30932,Pymatuning Valley High School,2019,3,G,District,6,311
175,30932,Pymatuning Valley High School,2019,3,G,Regional,14,311
176,20297,Liberty Center High School,2019,3,G,District,1,312
177,20297,Liberty Center High School,2019,3,G,Regional,2,312
178,20297,Liberty Center High School,2019,3,G,State,4,312
179,38893,West Union High School,2019,3,G,District,3,312
180,38893,West Union High School,2019,3,G,Regional,12,312
181,32607,Rootstown/Ward Davis Bldg High School,2019,3,G,District,3,314
182,32607,Rootstown/Ward Davis Bldg High School,2019,3,G,Regional,10,314
183,27656,Northeastern High School,2019,3,G,District,13,317
184,40071,Waynedale High School,2019,3,G,District,6,317
185,10439,Elmwood High School,2019,3,G,District,13,323
186,2139,Bellaire High School,2019,3,G,District,6,324
187,17285,Independence High School,2019,3,G,District,6,328
188,27888,Northwestern High School,2019,3,G,District,10,331
189,10926,Fairbanks High School,2019,3,G,District,3,333
190,10926,Fairbanks High School,2019,3,G,Regional,3,333
191,10926,Fairbanks High School,2019,3,G,State,13,333
192,14100,Grandview Heights High School,2019,3,G,District,6,335
193,14100,Grandview Heights High School,2019,3,G,Regional,7,335
194,37911,United High School,2019,3,G,District,8,337
195,34793,Smithville High School,2019,3,G,District,2,340
196,34793,Smithville High School,2019,3,G,Regional,4,340
197,34793,Smithville High School,2019,3,G,State,18,340
198,71001,Worthington Christian School ,2019,3,G,District,10,341
199,10884,Evergreen High School,2019,3,G,District,10,347
200,38232,Van Buren High School,2019,3,G,District,6,349
201,13243,Genoa Area High School,2019,3,G,District,5,352
202,13243,Genoa Area High School,2019,3,G,Regional,11,352
203,28894,Ottawa Hills High School,2019,3,G,District,8,353
204,26229,South Range High School,2019,3,G,District,8,354
205,935,Archbold High School,2019,3,G,District,1,357
206,935,Archbold High School,2019,3,G,Regional,4,357
207,935,Archbold High School,2019,3,G,State,9,357
208,38760,West Liberty-Salem Middle/High School,2019,3,G,District,1,361
209,38760,West Liberty-Salem Middle/High School,2019,3,G,Regional,1,361
210,38760,West Liberty-Salem Middle/High School,2019,3,G,State,2,361
211,28779,Orrville High School,2019,3,G,District,5,366
212,20420,Liberty Union High School,2019,3,G,District,5,372
213,20420,Liberty Union High School,2019,3,G,Regional,6,372
214,53900,Summit Country Day ,2019,3,G,District,2,373
215,53900,Summit Country Day ,2019,3,G,Regional,5,373
216,1602,Barnesville High School,2019,3,G,District,10,383
217,52902,Seven Hills School ,2019,3,G,District,3,385
218,52902,Seven Hills School ,2019,3,G,Regional,10,385
219,38414,Versailles High School,2019,3,G,District,3,390
220,38414,Versailles High School,2019,3,G,Regional,4,390
221,38414,Versailles High School,2019,3,G,State,16,390
222,24372,Miami East High School,2019,3,G,District,14,394
223,19216,Kirtland High School,2019,3,G,District,7,395
224,17491,Ironton High School,2019,3,G,District,6,399
225,17491,Ironton High School,2019,3,G,Regional,16,399
226,42572,Zane Trace High School,2019,3,G,District,8,410
227,2436,Berkshire High School,2019,3,G,District,3,414
228,2436,Berkshire High School,2019,3,G,Regional,6,414
229,23036,Martins Ferry High School,2019,3,G,District,3,414
230,23036,Martins Ferry High School,2019,3,G,Regional,10,414
231,6858,Coldwater High School,2019,3,G,District,3,415
232,6858,Coldwater High School,2019,3,G,Regional,10,415
233,21956,Madeira High School,2019,3,G,District,1,415
234,21956,Madeira High School,2019,3,G,Regional,3,415
235,21956,Madeira High School,2019,3,G,State,17,415
236,41202,Wickliffe High School,2019,3,G,District,9,423
237,40683,Westfall High School,2019,3,G,District,9,443
238,52969,Elyria Catholic ,2019,3,G,District,8,458
239,122697,Cincinnati Hills Christian Academy ,2019,3,G,District,4,459
240,122697,Cincinnati Hills Christian Academy ,2019,3,G,Regional,11,459
241,53934,Ursuline ,2019,3,G,District,10,464
242,52993,Gilmour Academy ,2019,3,G,District,1,497
243,52993,Gilmour Academy ,2019,3,G,Regional,2,497
244,52993,Gilmour Academy ,2019,3,G,State,8,497
